样图序号,样图文件,样图路径,分组,候选原文件,候选原路径,输出文件,输出路径,CLIP原始分,pHash距离,样图类别,候选类别,候选类别分,构图相似,造型相似,色彩相似,纹理相似,多维分组分,任务状态,本组最低质量门槛,分数已校准
1,1 (1).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (1).png,A,图 (3).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (3).png,0001_A.png,C:\Users\mozhihao\core\image-hybrid-search\output\0001_1 (1)\0001_A.png,0.763968,26,living_room,living_room,0.26382,0.639569,0.446714,0.842276,0.997283,0.560636,completed,0.519499,否
1,1 (1).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (1).png,B,图 (9).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (9).png,0001_B.png,C:\Users\mozhihao\core\image-hybrid-search\output\0001_1 (1)\0001_B.png,0.640581,34,living_room,living_room,0.274552,0.279643,0.36646,0.771892,0.995356,0.576849,completed,0.519499,否
1,1 (1).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (1).png,C,图 (15).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (15).png,0001_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0001_1 (1)\0001_C.png,0.632814,32,living_room,living_room,0.283076,0.542169,0.401807,0.809493,0.998545,0.531329,completed,0.519499,否
2,1 (2).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (2).png,A,图 (34).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (34).png,0002_A.png,C:\Users\mozhihao\core\image-hybrid-search\output\0002_1 (2)\0002_A.png,0.640188,26,living_room,living_room,0.29816,0.626029,0.4115,0.645885,0.996683,0.520982,completed,0.5,否
2,1 (2).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (2).png,B,图 (36).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (36).png,0002_B.png,C:\Users\mozhihao\core\image-hybrid-search\output\0002_1 (2)\0002_B.png,0.614938,30,living_room,living_room,0.290079,0.414749,0.306109,0.578485,0.996849,0.560453,completed,0.5,否
2,1 (2).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (2).png,C,图 (8).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (8).png,0002_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0002_1 (2)\0002_C.png,0.719998,30,living_room,living_room,0.275558,0.431958,0.483842,0.924279,0.996729,0.582343,completed,0.5,否
3,1 (3).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (3).png,A,图75 (6).webp,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图75 (6).webp,0003_A.webp,C:\Users\mozhihao\core\image-hybrid-search\output\0003_1 (3)\0003_A.webp,0.581762,36,living_room,living_room,0.296992,0.506198,0.429569,0.925967,0.992852,0.447479,completed,0.5,否
3,1 (3).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (3).png,B,图75 (4).webp,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图75 (4).webp,0003_B.webp,C:\Users\mozhihao\core\image-hybrid-search\output\0003_1 (3)\0003_B.webp,0.533154,30,living_room,living_room,0.263446,0.416438,0.351191,0.897115,0.991598,0.488957,completed,0.5,否
3,1 (3).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (3).png,C,图 (33).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (33).png,0003_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0003_1 (3)\0003_C.png,0.539873,26,living_room,living_room,0.293308,0.524025,0.38035,0.736208,0.997918,0.480421,completed,0.5,否
4,1 (4).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (4).png,A,图 (12).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (12).png,0004_A.png,C:\Users\mozhihao\core\image-hybrid-search\output\0004_1 (4)\0004_A.png,0.726555,26,storage_cabinet,storage_cabinet,0.314242,0.623267,0.406124,0.963157,0.995211,0.525621,completed,0.5,否
4,1 (4).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (4).png,B,图76 (3).webp,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图76 (3).webp,0004_B.webp,C:\Users\mozhihao\core\image-hybrid-search\output\0004_1 (4)\0004_B.webp,0.562387,36,storage_cabinet,storage_cabinet,0.300696,0.278912,0.350397,0.664417,0.997849,0.548182,completed,0.5,否
4,1 (4).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (4).png,C,图 (14).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (14).png,0004_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0004_1 (4)\0004_C.png,0.671381,28,storage_cabinet,storage_cabinet,0.286442,0.555244,0.426907,0.828037,0.994202,0.551515,completed,0.5,否
5,1 (5).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (5).png,A,图 (25).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (25).png,0005_A.png,C:\Users\mozhihao\core\image-hybrid-search\output\0005_1 (5)\0005_A.png,0.830287,30,kitchen_sink,kitchen_sink,0.319284,0.54185,0.389973,0.849499,0.998545,0.542547,completed,0.564595,否
5,1 (5).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (5).png,B,图 (23).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (23).png,0005_B.png,C:\Users\mozhihao\core\image-hybrid-search\output\0005_1 (5)\0005_B.png,0.707613,32,kitchen_sink,kitchen_sink,0.343915,0.459588,0.375606,0.786883,0.997153,0.571745,completed,0.564595,否
5,1 (5).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (5).png,C,图 (22).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (22).png,0005_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0005_1 (5)\0005_C.png,0.687277,30,kitchen_sink,kitchen_sink,0.253263,0.513169,0.362391,0.803633,0.992684,0.57445,completed,0.564595,否
6,1 (6).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (6).png,A,图 (21).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (21).png,0006_A.png,C:\Users\mozhihao\core\image-hybrid-search\output\0006_1 (6)\0006_A.png,0.757452,28,kitchen_sink,kitchen_sink,0.314679,0.482147,0.350437,0.89648,0.993855,0.488064,completed,0.515067,否
6,1 (6).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (6).png,B,图75 (2).webp,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图75 (2).webp,0006_B.webp,C:\Users\mozhihao\core\image-hybrid-search\output\0006_1 (6)\0006_B.webp,0.552947,24,kitchen_sink,kitchen_cabinet,0.268341,0.465645,0.249991,0.811615,0.998226,0.510108,completed,0.515067,否
6,1 (6).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (6).png,C,图74 (10).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图74 (10).png,0006_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0006_1 (6)\0006_C.png,0.522942,32,kitchen_sink,kitchen_cabinet,0.248831,0.55085,0.384232,0.775586,0.99797,0.463387,completed,0.515067,否
7,1 (7).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (7).png,A,图 (43).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (43).png,0007_A.png,C:\Users\mozhihao\core\image-hybrid-search\output\0007_1 (7)\0007_A.png,0.869138,26,living_room,living_room,0.273857,0.749144,0.426726,0.576766,0.997868,0.646189,completed,0.63933,否
7,1 (7).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (7).png,B,图 (38).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (38).png,0007_B.png,C:\Users\mozhihao\core\image-hybrid-search\output\0007_1 (7)\0007_B.png,0.940192,32,living_room,living_room,0.28495,0.44896,0.437028,0.82787,0.997558,0.677843,completed,0.63933,否
7,1 (7).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (7).png,C,图 (42).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (42).png,0007_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0007_1 (7)\0007_C.png,0.882426,24,living_room,living_room,0.274639,0.551485,0.40224,0.479859,0.998372,0.717337,completed,0.63933,否
8,1 (8).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (8).png,A,图 (39).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (39).png,0008_A.png,C:\Users\mozhihao\core\image-hybrid-search\output\0008_1 (8)\0008_A.png,0.732743,30,living_room,living_room,0.284125,0.742979,0.364774,0.472271,0.998369,0.59201,completed,0.585604,否
8,1 (8).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (8).png,B,图 (32).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (32).png,0008_B.png,C:\Users\mozhihao\core\image-hybrid-search\output\0008_1 (8)\0008_B.png,0.861183,34,living_room,living_room,0.27405,0.463634,0.353866,0.72047,0.997564,0.655932,completed,0.585604,否
8,1 (8).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (8).png,C,图73 (4).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图73 (4).png,0008_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0008_1 (8)\0008_C.png,0.641493,24,living_room,furniture,0.249267,0.507397,0.283282,0.164331,0.997714,0.600749,completed,0.585604,否
9,1 (9).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (9).png,A,图 (68).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (68).png,0009_A.png,C:\Users\mozhihao\core\image-hybrid-search\output\0009_1 (9)\0009_A.png,0.686009,30,cleaning,cleaning,0.219818,0.781366,0.613488,0.856374,0.997677,0.608157,completed,0.5,否
9,1 (9).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (9).png,B,图 (70).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (70).png,0009_B.png,C:\Users\mozhihao\core\image-hybrid-search\output\0009_1 (9)\0009_B.png,0.675974,34,cleaning,cleaning,0.195042,0.235704,0.521621,0.599648,0.993546,0.593114,completed,0.5,否
9,1 (9).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (9).png,C,图 (45).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图 (45).png,0009_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0009_1 (9)\0009_C.png,0.711821,28,cleaning,cleaning,0.197377,0.624758,0.586979,0.583029,0.996832,0.57302,completed,0.5,否
10,1 (10).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (10).png,A,图74 (5).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图74 (5).png,0010_A.png,C:\Users\mozhihao\core\image-hybrid-search\output\0010_1 (10)\0010_A.png,0.824589,30,kitchen_cabinet,kitchen_cabinet,0.248333,0.541999,0.529083,0.871158,0.998456,0.566801,completed,0.560721,否
10,1 (10).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (10).png,B,图74 (6).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图74 (6).png,0010_B.png,C:\Users\mozhihao\core\image-hybrid-search\output\0010_1 (10)\0010_B.png,0.805123,30,kitchen_cabinet,kitchen_cabinet,0.232695,0.525213,0.496887,0.947222,0.998848,0.57703,completed,0.560721,否
10,1 (10).png,C:\Users\mozhihao\core\image-hybrid-search\input_samples\1 (10).png,C,图74 (7).png,C:\Users\mozhihao\core\image-hybrid-search\candidate_library\图74 (7).png,0010_C.png,C:\Users\mozhihao\core\image-hybrid-search\output\0010_1 (10)\0010_C.png,0.778285,36,kitchen_cabinet,storage_cabinet,0.225958,0.459818,0.5297,0.974542,0.998135,0.608983,completed,0.560721,否
